,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
test[0],-6.967,0.421,-7.747,-6.228,0.002,0.001,87993.0,70958.0,1.0
test[1],0.765,0.174,0.439,1.058,0.001,0.0,117481.0,110997.0,1.0
test[2],0.012,0.211,-0.397,0.373,0.001,0.0,97140.0,107511.0,1.0
test[3],-1.604,0.068,-1.732,-1.479,0.0,0.0,108868.0,110678.0,1.0
test[4],-5.489,2.18,-9.21,-2.106,0.006,0.004,142429.0,101705.0,1.0
test[5],-2.247,0.24,-2.707,-1.82,0.001,0.001,100032.0,117128.0,1.0
