,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"test[11, 2]",0.682,0.113,0.465,0.887,0.002,0.001,3653.0,5600.0,1.0
"test[11, 3]",-1.475,0.061,-1.588,-1.359,0.001,0.001,3690.0,5993.0,1.0
"test[11, 4]",-1.534,0.896,-2.053,-1.204,0.017,0.012,5519.0,2672.0,1.0
"test[11, 5]",-2.849,0.367,-3.521,-2.215,0.005,0.004,4285.0,5443.0,1.0
"test[12, 0]",-6.223,0.193,-6.59,-5.895,0.003,0.002,3627.0,6923.0,1.0
"test[12, 1]",-4.641,2.612,-9.207,-0.748,0.013,0.009,31927.0,19757.0,1.0
"test[12, 2]",-0.463,0.171,-0.779,-0.137,0.002,0.002,5167.0,7673.0,1.0
"test[12, 3]",-1.642,0.053,-1.74,-1.54,0.001,0.001,5589.0,12616.0,1.0
"test[12, 4]",-5.716,2.088,-9.21,-2.385,0.008,0.006,60346.0,56147.0,1.0
"test[12, 5]",-6.633,1.522,-9.206,-4.253,0.007,0.005,50080.0,52222.0,1.0
