2.32E-01,1.01E+00,1.68E+00,8.35E-01,2.24E-01,5.05E-02,2.04E-02,1.78E-01,1.27E+00,3.70E+00,2.51E+00,4.24E-01,3.97E-02,1.07E-02,2.12E-01,1.91E+00,5.80E+00,4.18E+00,7.48E-01,5.35E-02,8.19E-03,2.78E-01,1.89E+00,4.43E+00,2.77E+00,6.07E-01,6.75E-02,1.08E-02,3.17E-01,1.98E+00,4.34E+00,2.08E+00,3.85E-01,5.90E-02,1.30E-02
2.17E-01,8.55E-01,1.40E+00,8.52E-01,4.03E-01,1.02E-01,2.40E-02,1.35E-01,6.84E-01,1.68E+00,2.56E+00,2.54E+00,6.45E-01,4.76E-02,1.23E-01,6.96E-01,1.98E+00,4.14E+00,4.60E+00,1.30E+00,1.01E-01,1.86E-01,1.14E+00,2.79E+00,2.82E+00,2.29E+00,7.91E-01,1.00E-01,2.86E-01,1.83E+00,4.07E+00,2.13E+00,6.41E-01,2.10E-01,4.60E-02
2.81E-01,1.19E+00,2.06E+00,1.05E+00,2.94E-01,6.65E-02,2.47E-02,2.33E-01,1.51E+00,3.50E+00,2.14E+00,3.93E-01,4.87E-02,1.56E-02,2.56E-01,1.88E+00,4.68E+00,3.10E+00,5.86E-01,5.36E-02,1.16E-02,2.89E-01,1.80E+00,3.97E+00,2.27E+00,4.65E-01,5.83E-02,1.23E-02,3.38E-01,2.03E+00,4.28E+00,2.09E+00,3.66E-01,5.52E-02,1.30E-02
3.03E-01,1.21E+00,1.85E+00,9.26E-01,3.54E-01,1.05E-01,2.99E-02,2.20E-01,1.05E+00,2.17E+00,2.09E+00,1.73E+00,4.57E-01,4.03E-02,1.80E-01,9.63E-01,2.34E+00,3.13E+00,3.06E+00,8.71E-01,7.34E-02,2.21E-01,1.36E+00,3.15E+00,2.25E+00,1.35E+00,4.49E-01,6.10E-02,3.04E-01,1.96E+00,4.37E+00,2.09E+00,4.64E-01,1.21E-01,2.77E-02
3.20E-01,1.27E+00,2.17E+00,1.06E+00,2.82E-01,7.45E-02,3.27E-02,2.58E-01,1.44E+00,3.21E+00,1.85E+00,3.42E-01,5.21E-02,1.85E-02,2.55E-01,1.63E+00,3.99E+00,2.48E+00,4.56E-01,5.11E-02,1.34E-02,2.77E-01,1.71E+00,3.83E+00,1.98E+00,3.72E-01,5.20E-02,1.29E-02,3.28E-01,2.03E+00,4.46E+00,2.08E+00,3.41E-01,5.12E-02,1.31E-02
3.24E-01,1.23E+00,2.04E+00,1.06E+00,3.45E-01,8.55E-02,3.02E-02,2.57E-01,1.23E+00,2.55E+00,1.90E+00,1.10E+00,2.74E-01,3.12E-02,2.26E-01,1.24E+00,2.74E+00,2.53E+00,1.83E+00,4.92E-01,4.67E-02,2.63E-01,1.58E+00,3.35E+00,1.96E+00,8.21E-01,2.43E-01,3.64E-02,3.25E-01,2.06E+00,4.44E+00,2.09E+00,3.88E-01,8.16E-02,1.94E-02
2.56E-02,1.11E-01,4.19E-01,8.40E-01,1.41E+00,8.50E-01,2.11E-01,5.07E-02,6.82E-01,2.62E+00,2.44E+00,1.63E+00,6.83E-01,1.38E-01,1.06E-01,1.34E+00,4.67E+00,4.12E+00,1.96E+00,6.93E-01,1.19E-01,1.04E-01,8.17E-01,2.36E+00,2.85E+00,2.71E+00,1.11E+00,1.85E-01,4.80E-02,2.18E-01,6.66E-01,2.13E+00,3.98E+00,1.79E+00,2.90E-01
1.91E-02,4.63E-02,2.08E-01,7.94E-01,1.66E+00,1.00E+00,2.33E-01,1.06E-02,3.84E-02,4.12E-01,2.46E+00,3.70E+00,1.32E+00,1.89E-01,7.80E-03,5.21E-02,7.42E-01,4.21E+00,5.77E+00,1.92E+00,2.24E-01,1.02E-02,6.73E-02,6.19E-01,2.86E+00,4.37E+00,1.82E+00,2.80E-01,1.29E-02,6.16E-02,4.06E-01,2.12E+00,4.23E+00,1.95E+00,3.19E-01
2.74E-02,9.40E-02,3.50E-01,9.35E-01,1.97E+00,1.21E+00,2.94E-01,3.89E-02,4.30E-01,1.62E+00,2.01E+00,2.29E+00,1.09E+00,2.17E-01,7.06E-02,8.30E-01,2.93E+00,3.11E+00,2.51E+00,1.08E+00,1.87E-01,5.96E-02,4.39E-01,1.34E+00,2.29E+00,3.21E+00,1.44E+00,2.41E-01,2.80E-02,1.23E-01,4.79E-01,2.10E+00,4.26E+00,1.94E+00,3.15E-01
2.41E-02,6.16E-02,2.80E-01,9.54E-01,1.93E+00,1.14E+00,2.77E-01,1.44E-02,4.50E-02,3.79E-01,2.09E+00,3.51E+00,1.39E+00,2.11E-01,1.07E-02,5.07E-02,5.76E-01,3.20E+00,5.00E+00,1.89E+00,2.38E-01,1.18E-02,5.80E-02,4.69E-01,2.31E+00,4.04E+00,1.81E+00,2.85E-01,1.30E-02,5.53E-02,3.79E-01,2.13E+00,4.34E+00,2.03E+00,3.34E-01
